State,Year,Population
Kentucky,1961,3076000
Kentucky,1962,3082000
Kentucky,1963,3095000
Kentucky,1964,3159000
Kentucky,1965,3179000
Kentucky,1966,3183000
Kentucky,1967,3189000
Kentucky,1968,3229000
Kentucky,1969,3232000
Kentucky,1970,3219311
Kentucky,1971,3282000
Kentucky,1972,3299000
Kentucky,1973,3342000
Kentucky,1974,3357000
Kentucky,1975,3396000
Kentucky,1976,3428000
Kentucky,1977,3458000
Kentucky,1978,3498000
Kentucky,1979,3527000
Kentucky,1980,3641479
Kentucky,1981,3661000
Kentucky,1982,3667000
Kentucky,1983,3714000
Kentucky,1984,3723000
Kentucky,1985,3726000
Kentucky,1986,3728000
Kentucky,1987,3727000
Kentucky,1988,3721000
Kentucky,1989,3727000
Kentucky,1990,3685296
Kentucky,1991,3713000
Kentucky,1992,3755000
Kentucky,1993,3789000
Kentucky,1994,3827000
Kentucky,1995,3860000
Kentucky,1996,3884000
Kentucky,1997,3908000
Kentucky,1998,3936000
Kentucky,1999,3960825
Kentucky,2000,4041769
Kentucky,2001,4068816
Kentucky,2002,4089822
Kentucky,2003,4118189
Kentucky,2004,4141835
Kentucky,2005,4172608
Kentucky,2006,4206074
Kentucky,2007,4241474
Kentucky,2008,4269245
Kentucky,2009,4314113
Kentucky,2010,4347223
Kentucky,2011,4366814
Kentucky,2012,4380415
Louisiana,1960,3257022
Louisiana,1961,3321000
Louisiana,1962,3330000
Louisiana,1963,3418000
Louisiana,1964,3468000
Louisiana,1965,3534000
Louisiana,1966,3603000
Louisiana,1967,3662000
Louisiana,1968,3732000
Louisiana,1969,3745000
Louisiana,1970,3643180
Louisiana,1971,3681000
Louisiana,1972,3720000
Louisiana,1973,3764000
Louisiana,1974,3764000
Louisiana,1975,3791000
Louisiana,1976,3841000
Louisiana,1977,3921000
Louisiana,1978,3966000
Louisiana,1979,4026000
Louisiana,1980,4199542
Louisiana,1981,4305000
Louisiana,1982,4362000
Louisiana,1983,4438000
Louisiana,1984,4462000
Louisiana,1985,4481000
Louisiana,1986,4501000
Louisiana,1987,4461000
Louisiana,1988,4420000
Louisiana,1989,4382000
Louisiana,1990,4219973
Louisiana,1991,4252000
Louisiana,1992,4287000
Louisiana,1993,4295000
Louisiana,1994,4315000
Louisiana,1995,4342000
Louisiana,1996,4351000
Louisiana,1997,4352000
Louisiana,1998,4369000
Louisiana,1999,4372035
Louisiana,2000,4468976
Louisiana,2001,4470368
Louisiana,2002,4476192
Louisiana,2003,4493665
Louisiana,2004,4506685
Louisiana,2005,4507331
Louisiana,2006,4287768
Louisiana,2007,4293204
Louisiana,2008,4410796
Louisiana,2009,4492076
Louisiana,2010,4545343
Louisiana,2011,4574766
Louisiana,2012,4601893
Maine,1960,969265
Maine,1961,992000
Maine,1962,999000
Maine,1963,982000
Maine,1964,989000
Maine,1965,993000
Maine,1966,983000
Maine,1967,973000
Maine,1968,979000
Maine,1969,978000
Maine,1970,993663
Maine,1971,1003000
Maine,1972,1029000
Maine,1973,1028000
Maine,1974,1047000
Maine,1975,1059000
Maine,1976,1070000
Maine,1977,1085000
Maine,1978,1091000
Maine,1979,1097000
Maine,1980,1123670
Maine,1981,1132000
Maine,1982,1133000
Maine,1983,1146000
Maine,1984,1156000
Maine,1985,1164000
Maine,1986,1174000
Maine,1987,1187000
